mvp_hfr_id,official_hfr_id,hospital_name,source_record_id,address,latitude,longitude,source
HFR_MOCK_000074,,Balaji Orthopaedic And Trauma Hospital,90,"#413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati, 413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati 517501  Chittoor, Andhra Pradesh - 517501",13.6344095,79.425573,data.gov.in
HFR_MOCK_000075,,Bhaskar Allergy and Chest Hospital,91,"No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati, No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati,, Chittoor, Andhra Pradesh - 517501",13.6338436,79.4210045,data.gov.in
HFR_MOCK_000076,,Clinic Nisha,92,"398A, Doddapuram Street, Tirupati, Chittoor, Andhra Pradesh - 517501",13.6338782,79.4195997,data.gov.in
HFR_MOCK_000077,,Dbr And Sk Super Speciality Hospital,93,"18-1-505, Mosque Road Opp: Vv Mahal Mosque Road, 18-1-505, Mosque Road Opp: Vv Mahal Mosque Road Tirupati 517501  Chittoor, Andhra Pradesh - 517501",13.6244611,79.4310052,data.gov.in
HFR_MOCK_000078,,Eye Care Centre and Contact Lens Clinic,94,"Nehru Nagar Behind Jyothi Talkies Tirupati, Nehru Nagar Behind Jyothi Talkies Tirupati (Chittoor), Andhra Pradesh - 517501",13.6287557,79.4191795,data.gov.in
HFR_MOCK_000079,,Harshitha Hospital,96,"10-13-568,,Reddy And Reddy Colony, 10-13-568,Reddy and Reddy Colony,Chittoor., Andhra Pradesh - 517501",13.6361446,79.4204532,data.gov.in
HFR_MOCK_000080,,M S Hospital,98,"D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road, Chittoor, Andhra Pradesh - 517501",13.6781837,79.352188,data.gov.in
HFR_MOCK_000081,,M.M Hospital,99,"138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati, 138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati,Chittoor,, Andhra Pradesh - 517501",13.6287557,79.4191795,data.gov.in
HFR_MOCK_000082,,Manohari Nursing Home,101,"548, R.R. Colony,Tirupati, 548, R.R. Colony,Tirupati-, Chittoor, Andhra Pradesh - 517501",13.6302513,79.4118237,data.gov.in
HFR_MOCK_000083,,Meghana Hospital,102,"538,Second Street,Oppositeagarala Eswara, Degree College, Reddy And Reddy Colony, Tirupati, 538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati,, Chittoor, Andhra Pradesh - 517501",13.6287557,79.4191795,data.gov.in
HFR_MOCK_000084,,Navya Netralaya Eye Hospital,104,"2-2-349 K.V. Layout, Chittoor, Andhra Pradesh - 517501",13.217176,79.1003289,data.gov.in
HFR_MOCK_000085,,Neelima Maternity Nursing Home,105,"18-2-246 , Road No-1 Abbanna Colony Tirupati, 18-2-246, Road No-1 Abbanna Colony Tirupati, Chittoor, Andhra Pradesh - 517501",13.6390013,79.4272041,data.gov.in
HFR_MOCK_000086,,Nirmala Hospitals,106,"18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati, 18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati,, Chittoor, Andhra Pradesh - 517501",13.6287557,79.4191795,data.gov.in
HFR_MOCK_000087,,Om Children Surgical Superspeciality Centre,107,"10-13-486, Reddy And Reddy Colony, Tirupati, 10-13-486, Reddy and Reddy Colony, Chittor, Tirupati,, Chittoor, Andhra Pradesh - 517501",13.6361446,79.4204532,data.gov.in
HFR_MOCK_000088,,Prameela Hospital,108,"10 - 3 - 206 Kotakommala Street Tirupati, Chittoor, Andhra Pradesh - 517501",13.6287557,79.4191795,data.gov.in
HFR_MOCK_000089,,Prashanth Hospital,109,"#: 410, Tilak Road Tilak Road Tirupati, : 410, Tilak Road Tilak Road Tirupati 517501  Chittoor, Andhra Pradesh - 517501",13.6338436,79.4210045,data.gov.in
HFR_MOCK_000090,,Raghavendra Urological Super Speciality Hospital (Russh Hospital),111,"10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy And Reddy Colony Tirupati, 10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati 517501  Chittoor, Andhra Pradesh - 517501",13.6244611,79.4310052,data.gov.in
HFR_MOCK_000091,,Rama Nursing Home,112,"535, Reddy And Reddy Colony , Tirupati, 535, Reddy and Reddy Colony, Tirupati, Chittoor, Andhra Pradesh - 517501",13.6361446,79.4204532,data.gov.in
HFR_MOCK_000092,,Ramya Hospital,114,"-4-566, Nehru Nagar, Tirupathi, Chittoor, Andhra Pradesh - 517501",13.6365271,79.4127143,data.gov.in
HFR_MOCK_000093,,Ravi Neuro and Emergency Hospital - Chittoor,115,"# 576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati, Chittoor, Andhra Pradesh - 517501",13.6287557,79.4191795,data.gov.in
HFR_MOCK_000094,,Sakthi Medicals,116,"548, Reddy And Reddy Colony,Tirupati, 548, Reddy and Reddy Colony,Tirupati-517501, Chittoor, Andhra Pradesh - 517501",13.6361446,79.4204532,data.gov.in
HFR_MOCK_000095,,Shyamala Nursing Home,117,"101, Sarojinideavi Road, Tirupati, Chittoor, Andhra Pradesh - 517501",13.6368739,79.4144319,data.gov.in
HFR_MOCK_000096,,Sree Emergency and Crticial Care Hospital,118,"D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati, Chittoor, Andhra Pradesh - 517501",13.6157076,79.4125828,data.gov.in
HFR_MOCK_000097,,Sri Chakra Hospitals,119,"10-13-496, , Reddy And Reddy Colony, Tirupati, 10-13-496, Reddy and Reddy Colony, Tirupati, Chittoor, Andhra Pradesh - 517501",13.6361446,79.4204532,data.gov.in
HFR_MOCK_000098,,Sri Padmavathi Multi Speciality Hospital,120,"6-1-46, R.S.Gardens Tirupati, 6-1-46, R.S.Gardens Tirupathi, Chittoor, Andhra Pradesh - 517501",23.0866456,72.5630236,data.gov.in
HFR_MOCK_000099,,Sri Ramadevi Multi Super Speciality Hospital,121,"T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati, T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati 517501  Chittoor, Andhra Pradesh - 517501",13.6388217,79.4204627,data.gov.in
HFR_MOCK_000100,,Sri Sai Sudha Hospitals,123,"521, Reddy And Reddy Colony, Chittor, Tirupati, 521, Reddy and Reddy Colony, Chittor, Tirupati,, Chittoor, Andhra Pradesh - 517501",13.6361446,79.4204532,data.gov.in
HFR_MOCK_000101,,Sri Suraksha Hospital,124,"Tirupati, Tirupathi, Chittoor, Andhra Pradesh - 517501",13.217176,79.1003289,data.gov.in
HFR_MOCK_000102,,Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,125,"No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple, No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple, Chittoor, Andhra Pradesh - 517501",13.217176,79.1003289,data.gov.in
HFR_MOCK_000103,,Sri Venkateshwara Institute Of Medical Sciences,126,"Tirupati, Chittoor, Andhra Pradesh - 517501",13.6287557,79.4191795,data.gov.in
HFR_MOCK_000104,,Sri Venkateswara Hospitals,127,"No. 20-03-88G, Siva Jyothi Nagar, No. 20-03-88G, Siva Jyothi Nagar,, Chittoor, Andhra Pradesh - 517501",26.896961,75.792554,data.gov.in
HFR_MOCK_000105,,Srinivasa Super Speciality Hospital,129,"216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati, Chittoor, Andhra Pradesh - 517501",13.6287557,79.4191795,data.gov.in
HFR_MOCK_000106,,Suguna Nursing Home,130,"515,Reddy Reddy Colony, Tirupati, Chittoor, Andhra Pradesh - 517501",13.6361446,79.4204532,data.gov.in
HFR_MOCK_000107,,Sviss Hospital,131,"326,Nethaji Road,Tirupati, 326,Nethaji Road,Tirupathi, Chittoor, Andhra Pradesh - 517501",13.6095995,79.4489169,data.gov.in
HFR_MOCK_000108,,Swaranamrutha Hospital,132,"6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati, Chittoor, Andhra Pradesh - 517501",13.6287557,79.4191795,data.gov.in
HFR_MOCK_000109,,Triveni Child Care Hospital,135,"525,Reddy  And Reddy Colony,Tirupathi, 525,Reddy  and Reddy Colony,Tirupathi-, Chittoor, Andhra Pradesh - 517501",13.6361446,79.4204532,data.gov.in
HFR_MOCK_000110,,Venkataramana Heart And Maternity Hospital,138,"10-13-533, Reddy And Reddy Colony, Reddy And Reddy Colony Tirupati, 10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati 517501  Chittoor, Andhra Pradesh - 517501",13.6358027,79.420805,data.gov.in
HFR_MOCK_000111,,Vision Care Clinic,139,"6-2-88, Old Maternity Hospital Road, Tirupati, Chittoor, Andhra Pradesh - 517501",13.639101,79.4177213,data.gov.in
HFR_MOCK_000112,,Elite Hospital,140,"D. No.10-14-576/6, New No.28, Reddy And Reddy Colony, D. No.10-14-576/6, New No.28, Reddy And Reddy Colony,, Chittoor, Andhra Pradesh - 517502",13.6335087,79.4170539,data.gov.in
HFR_MOCK_000113,,Maha Hospitals,141,"13-7-936/6 Tuda Road, Chittoor, Andhra Pradesh - 517502",13.217176,79.1003289,data.gov.in
HFR_MOCK_000114,,Vennela Super Speciality Eye and Dental Hospital,142,"502,B, 1St Floor, Opp Sbi Kt Road, Chittoor, Andhra Pradesh - 517502",28.6779455,77.3103012,data.gov.in
HFR_MOCK_000115,,Manasa Kidney Foundation,144,"K. T. Road, Tirupati, Chittoor, Andhra Pradesh - 517507",13.6452591,79.419089,data.gov.in
HFR_MOCK_000116,,Rushh Hospital,145,"V.V.Mahal Road, Tirupathi, Chittoor, Andhra Pradesh - 517507",13.6370231,79.4206271,data.gov.in
HFR_MOCK_000117,,Swarna E.N.T Super Speciality Hosptial,148,"6-1-12A, Beside Old Maternity Hospital, Tirupati, Chittoor, Andhra Pradesh - 517507",13.6287557,79.4191795,data.gov.in
HFR_MOCK_000118,,Swarnamurtha Hospital,149,"91,Old M.H.Road,1/1,Tirupathi, 91,Old M.H.Road,1/1,Tirupathi,Chittoor, Andhra Pradesh - 517507",13.633255,79.4552064,data.gov.in
HFR_MOCK_000119,,Sri Sai Nursing Home,150,"3/260, Kabu Street,Upstairs Of Bank Of India, Puttur, 3/260, Kabu Street,Upstairs Of Bank Of India, Puttur,, Chittoor, Andhra Pradesh - 517583",12.7686756,75.2070644,data.gov.in
HFR_MOCK_000120,,C.S.I. Hospital,151,"Nagari-517590, Nagari-517590, Chittoor, Andhra Pradesh - 517590",13.3200519,79.585628,data.gov.in
HFR_MOCK_000121,,Chaitanya Childrens Hospital,153,"Door No-7/370, Nagarchipalem, Srikalahasti, Door No-7/370, Nagarchipalem, Srikalahasti-517644, Chittoor, Andhra Pradesh - 517644",13.7392101,79.7119419,data.gov.in
HFR_MOCK_000122,,Eswari Nursing Home,154,"# 7-723,Kothapet, 7-723,,Kothapet., Chittoor, Andhra Pradesh - 517644",13.217176,79.1003289,data.gov.in
HFR_MOCK_000123,,Sai Kanthi Eye Hospital,155,"Kothapet, ,Kothapet., Chittoor, Andhra Pradesh - 517644",13.217176,79.1003289,data.gov.in
HFR_MOCK_000124,,Vani Priya Hospital,156,"V R Temple Street, Nehru Road, V R Temple Street, Nehru Road,, Chittoor, Andhra Pradesh - 517644",22.5657131,88.3557301,data.gov.in
HFR_MOCK_000125,,Balaji Nursing Home,159,"6/1565, Sankara Puram, 6/1565, Sankara Puram Kadapa, Y.S.R., Andhra Pradesh - 516001",14.480391,78.8340173,data.gov.in
HFR_MOCK_000126,,Jyothi Nursing Home,162,"3/374 Railway Station Road Railway Station Road, 3/374 Railway Station Road Railway Station Road Kadapa 516001  Kadapa, Y.S.R., Andhra Pradesh - 516001",17.6651796,75.8970483,data.gov.in
